nikkud,transliteration,word
אֲגַף,agaf,אגף
אַגְרֶגָט,,אגרגט
אַגְרֶגַצְיָה,ageregatsya,אגרגציה
אַגְרָה,agra,אגרה
אֶגְרוֹל,,אגרול
אֶגְרוֹן,egron,אגרון
אַגְרוֹנוֹם,,אגרונום
אַגְרוֹנוֹמְיָה,agronomyah,אגרונומיה
אֶגְרוֹף,egrof,אגרוף
אִגְרוּף,igruf,אגרוף
אֶגְרוֹף קוֹף,egrof kof,אגרוף קוף
אֶגְרוֹפָן,egrofan,אגרופן
אֲגַרְטָל,agartal,אגרטל
אַגְרָן,agran,אגרן
אִגֶּרֶת,igeret,אגרת
אִגֶּרֶת חוֹב,igeret khov,אגרת חוב
אֵד,ed,אד
אַד הוֹמִינֶם,ad hominem,אד הומינם
אַדְג'וּוָנְט,,אדג'וונט
אַדְהֶזְיָה,,אדהזיה
אַדְוָה,adva,אדוה
אִדּוּי,iduy,אדוי
אָדוֹלָן,,אדולן
אֱדוֹם,edom,אדום
אָדוֹן,adon,אדון
אָדוּק,aduk,אדוק
אִדּוּשׁ,idush,אדוש
אַדְיַאבָּטִי,adiabati,אדיאבטי
אָדִיב,adiv,אדיב
אֲדִיבוּת,adivut,אדיבות
אַדְיַבָּטָה,adiabata,אדיבטה
אַדִּיר,adir,אדיר
אָדִישׁ,adish,אדיש
אֲדִישׁוּת,adishut,אדישות
אֶדֶלְוַויְיס,edelvays,אדלווייס
אָדֹם,adom,אדם
אֹדֶם,odem,אדם
אָדָם,adam,אדם
אָדָם בַּיָם,adam bayam,אדם בים
אָדָם זְאֵב,adam zeev,אדם זאב
אָדָם זָּקוּף,adam zakuf,אדם זקוף
אֲדָמָה,adama,אדמה
אֲדָמָה חֲרוּכָה,adama kharukha,אדמה חרוכה
אַדְמוֹנִי,admoni,אדמוני
אַדְמוֹנִית,,אדמונית
אַדְמִירָל,admiral,אדמירל
אַדְמִירָלוּת,admiralut,אדמירלות
אַדְמִירָלִיוּת,admiraliyut,אדמירליות
אֶדָמָמֶה,edamame,אדממה
אַדְמַת טְרָשִים,admat trashim,אדמת טרשים
אֶדֶן,eden,אדן
אֶדֶן הַתֹּרֶן,eden hatoren,אדן התרן
אָדֵנוֹזִין טְרִיפוֹסְפָט,adenozin trifosfat,אדנוזין טריפוספט
אָדֵנוֹזִין תְּלַת זַרְחָתִי,adenozin tlat zarkhati,אדנוזין תלת זרחתי
אָדֶנִין,adenin,אדנין
אֲדָנִית,adanit,אדנית
אָדַפְּטִיבִי,adaptivi,אדפטיבי
אֶדֶר,eder,אדר
אֲדָר,adar,אדר
אֵדֶר,eder,אדר
אַדְּרַבָּה,adraba,אדרבה
אִדְרָה {{משני|א}},idra,אדרה
אִדְרָה {{משני|ב}},idra,אדרה
אַדְרִיכָל,adrikhal,אדריכל
[[אדריכלות|אַדְרִיכָלוּת]] [[נוף|נוֹף]],adrikhalut nof,אדריכלות נוף
אדרנולויקודיסטרופיה,,אדרנולויקודיסטרופיה
אַדְרֶנַל,adrenal,אדרנל
אַדְרֵנָלִין,adrenalin,אדרנלין
אַדֶּרֶת,aderet,אדרת
אַהֲבָה,ahava,אהבה
אַהֲבָה אַפְּלָטוֹנִית,ahava aplatonit,אהבה אפלטונית
אַהֲבָה עִוֶּרֶת,ahava iveret,אהבה עורת
אַהְבָּל,A(h)bal או Ahabal,אהבל
אַהֲבַת חִנָּם,ahavat khinam,אהבת חנם
אַהֲדָה,ahada,אהדה
אֲהָהּ,ahah,אהה
אֱהִי,ehi,אהי
אָהִיל,ahil,אהיל
אָהָל,ahal,אהל
אֹהֶל,ohel,אהל
אַהְלָן,ahalan,אהלן
אוֹ,O,או
"אוּ""ם שְׁמוּם",um shmum,"או""ם שמום"
אוֹ-פֶּר,,או-פר
אוֹאוֹגֵנֵזָה,o'ogenesa,אואוגנזה
אוֹאָזִיס,oazis,אואזיס
אוֹב,ov,אוב
אוֹבְּיֶקְט,obyekt,אוביקט
אוֹבְּיֶקְטִיבִי,obiektivi,אוביקטיבי
אוֹבְּיֶקְטִיבִיּוּת,obyektiviyut,אוביקטיביות
אוּבָל,uval,אובל
אוֹבָלִי,ovali,אובלי
אוּבְּלִיאֶט,ubliet,אובליאט
אוֹבֶּלִיסְק,obelisk,אובליסק
אוֹבְּסִידִיאַן,obsidian,אובסידיאן
אוֹבְּסֶסִיבִי,obsesivi,אובססיבי
אוֹבְּסֵסְיָה,obsesya,אובססיה
אוֹבְּסְקוּרַנְט,,אובסקורנט
אוֹגֵד,oged,אוגד
אוֹגוּסְט,ogust,אוגוסט
אוֹגֵר,oger,אוגר
אוּד מֻצָּל מֵאֵשׁ,,אוד מצל מאש
אוּד מֻצָּל מִשְּׂרֵפָה,,אוד מצל משרפה
אוּד עָשֵׁן,ud ׳ashen,אוד עשן
אוֹדוֹנְטוֹלוֹגְיָה,,אודונטולוגיה
אוֹדוֹת,odot,אודות
אוֹדְיוֹמֶטֶר,odyometer,אודיומטר
אוֹדִישֶׁן,odishen,אודישן
אוֹהְם,om,אוהם
אֲוָז (גם: אַוָּז),avaz,אוז
אוּזוֹ,ouzo,אוזו
אוֹזוֹן,Ozon,אוזון
אוּחצָ'ה,uchtsha,אוחצ'ה
אוטאקולוגיה,,אוטאקולוגיה
אוֹטוֹ,oto,אוטו
אוֹטוֹ זֶבֶל,oto zevel‌,אוטו זבל
אוֹטוֹבּוּס,otobus,אוטובוס
אוֹטוֹבּוּס דּוּ קוֹמָתִי,otobus du komati,אוטובוס דו קומתי
אוֹטוֹבָּן,otoban,אוטובן
אוֹטוֹדִידַקְט,otodidakt,אוטודידקט
אוֹטוֹדִידַקְטִיּוּת,otodidaktiyut,אוטודידקטיות
אוֹטוֹטְרוֹף,ototrof,אוטוטרוף
אוֹטוֹמוֹבִּיל,otomobil,אוטומוביל
אוֹטוֹמָט,otomat,אוטומט
אוֹטוֹמַצְיָה,,אוטומציה
אוֹטוֹנוֹמְיָה,Otonomia,אוטונומיה
אוֹטוֹסוּגֶסְטְיָה,otosugestya,אוטוסוגסטיה
אוֹטוֹסְטְרָדָה,otostrada,אוטוסטרדה
אוֹטוֹפּוֹרְטְרֶט,otoportret,אוטופורטרט
אוּטוֹפְּיָה,utopya,אוטופיה
אוֹטוֹפִיט,aotofit,אוטופיט
אוטוֹקְרָט,aotokrat,אוטוקרט
אוֹטוֹקְרַטְיָה,otokratyah,אוטוקרטיה
אוֹטוֹרִיטָה,otorita,אוטוריטה
אוֹטוֹרִינוֹלָרִינְגוֹלוֹגְיָה,otorinolaringologia,אוטורינולרינגולוגיה
אוֹטְרִיאָד,otri'ad,אוטריאד
אוֹטָרִיִּים,otariyim,אוטריים
אוֹטַרְקְיָה,otarkya,אוטרקיה
אוֹי {{משני|ב}},oy,אוי
אוֹי {{משני|א}},oy,אוי
אוֹיֵב,oyev,אויב
אוֹיְבוּת,oyvut,אויבות
אֲוִיּוֹנִיקָה,evionika'',אויוניקה
אֱוִיל,evil,אויל
אֱוִילִי,evili,אוילי
אֲוִיר,avir,אויר
אֲוִירָה,avira,אוירה
אֲוִירוֹבָּטִיקָה,avirobatika,אוירובטיקה
אֲוִירוֹדִינָמִיקָה,avirodinamika,אוירודינמיקה
אֲוִירוֹן,aviron,אוירון
אֲוִירוֹנוֹטִיקָה,avironautika,אוירונוטיקה
אֲוִירָנִי,avirani,אוירני
אוֹכֵל נְבֵלוֹת,okhel nevelot,אוכל נבלות
אוֹכְרָה (וגם:אוֹ‏כֶּר),okhra,אוכרה
אוּל,ul,אול
אוּלְטִימָטוּם,ultimatum,אולטימטום
אוּלְטִימֵיט,ultimeit,אולטימיט
אוּלְטְרָסָאוּנְד,,אולטרסאונד
אוּלְטְרָפִילְטְרָצְיָה,ultra filtratsyah,אולטרפילטרציה
אוּלַי,ulay,אולי
אוליגואנצפאליה,,אוליגואנצפאליה
אוֹלִיגוֹפּוֹל,,אוליגופול
אוֹלִיגוֹפְּסוֹן,oligopson,אוליגופסון
אוֹלִיגוֹפֶּפְּטִיד,,אוליגופפטיד
אוֹלִיגוֹקֵן,oligoken,אוליגוקן
אוֹלִיגַרְךְ,oligarkh,אוליגרך
אוֹלִיגַרְכְיָה,oligarkhya,אוליגרכיה
אוֹלִימְפִּי,olimpi,אולימפי
אוּלָם {{משני|א}},ulam,אולם
אוּלָם {{משני|ב}},ulam,אולם
אוּלַם הַתְוָיָה,ulam hatvaya,אולם התויה
אוּלַם סִמּוּן,ulam simun,אולם סמון
אוֹלָר,olar,אולר
אִוֶּלֶת,ivelet,אולת
אוֹמֶגָה,omega,אומגה
אוֹמֵן,omen,אומן
אוֹמְנִיסֶקְסוּאָלִיוּת,omni-seksua''liyut,אומניסקסואליות
אוֹמְנִיפּוֹטֶנְט,omnipotent,אומניפוטנט
אוֹמְנִיפּוֹטֶנְטִי,,אומניפוטנטי
אוֹמְנִיפּוֹטֶנְטִיּוּת,,אומניפוטנטיות
אוֹן {{משני|א}},on,און
אוֹן {{משני|ב}},,און
אָוֶן,aven,און
אֶוָנְגֵלְיוֹן,evangelion,אונגליון
אָוַנְגַּרְד,avangard,אונגרד
אוֹנְגַּרְד,ongard,אונגרד
אָוַנְגַּרְדִּי,avangardi,אונגרדי
אוּנָה <small>גם</small> אֻנָּה,,אונה
אוֹנוֹמָטוֹפֵּיָה,onomatope'a,אונומטופיה
אוֹנוֹמַסְטִיקָה,onomastikah,אונומסטיקה
אוֹנוֹמַסְטִיקוֹן,onomastikon,אונומסטיקון
אוֹנְטוֹלוֹגְיָה,,אונטולוגיה
אוּנִיבֶרְסִיטָה,universita,אוניברסיטה
אוּנְיָה פֶּרְסוֹנָלִית,unyah personalit,אוניה פרסונלית
אוֹנְנוּת,onenut,אוננות
אוֹנָנוּת,onanut,אוננות
אוֹנְקוֹלוֹגְיָה,onkologya,אונקולוגיה
אוּנְקִיָה,,אונקיה
אוּנָרִי,unari,אונרי
אוֹסוֹבּוּקוֹ,,אוסובוקו
אוֹסְטֵאוֹדֶרְם,osteoderm,אוסטאודרם
אוֹסְטֵאוֹפָּת,osteopat,אוסטאופת
אוֹסְטֵאוֹפַּתְיָה,,אוסטאופתיה
אוֹסְטֵאוֹקָלְצִין,osteokaltsin,אוסטאוקלצין
אוֹסְטְרֵאָה,ostreah,אוסטראה
אוֹסְטְרִי,ostri,אוסטרי
אוֹסְטְרִיָּה,,אוסטריה
אוֹסְטְרַלְאַסְיָה,ostralasyah,אוסטרלאסיה
אוֹסְטְרָלִי,ostrali,אוסטרלי
אוֹסְטְרַלְיָה,ostralya,אוסטרליה
אוֹסְטְרָקִיזְם,ostrakizm,אוסטרקיזם
אוֹסְמוֹזָה,osmoza,אוסמוזה
אוֹסְמוֹזָה הָפוּכָה,osmoza hafoka,אוסמוזה הפוכה
שֵׁם עֵרֶךְ מְנֻקָּד,osmonetriya,אוסמומטריה
אוֹסְמוֹפוֹבְּיָה,osmofobya,אוסמופוביה
אוֹסְמְיוּם,osamium,אוסמיום
אוֹסְצִילוֹסְקוֹפּ,,אוסצילוסקופ
אוֹסְצִילוֹקוֹקִינוּם,ostsilumkokinum,אוסצילוקוקינום
אוֹפֶה,ofe,אופה
אוֹפֶה לֶחֶם,,אופה לחם
אוֹפּוֹזִיצְיָה,opozitsyah,אופוזיציה
אוֹפּוֹזִיצְיוֹנֶר,opozitsioner,אופוזיציונר
אוֹפּוֹרְטוּנִיזְם,oportunizem,אופורטוניזם
אוּפוֹרְיָה,,אופוריה
אוֹפְּטוֹמֶטֶר,optometer,אופטומטר
אוֹפְּטוֹמֶטְרַאי,optometrai,אופטומטראי
אוֹפְּטוֹמֶטְרְיָה,,אופטומטריה
אוֹפְּטוֹמֶטְרִיסְט,optometrist,אופטומטריסט
אוֹפְּטוֹפוֹן,optofon,אופטופון
אוֹפְּטִימִי,optimi,אופטימי
אוֹפְּטִימִיזַצְיָה,optimizatsya,אופטימיזציה
אוֹפְּטִיקָה,optika,אופטיקה
אוֹפְטַלְמוֹסְקוֹפּ,oftalmoskop,אופטלמוסקופ
אוֹפְטַלְמוֹסְקוֹפְּיָה,oftalmoskopyah,אופטלמוסקופיה
אוֹפְּיוּם,,אופיום
אוֹפִיקְלֵאִידָה,ofikleidah,אופיקלאידה
אוֹפַן,ofan,אופן
אוֹפַנּוֹעַ,ofanoa׳,אופנוע
אוֹפַנּוֹעַ חַשְׁמַלִּי,,אופנוע חשמלי
אוֹפַנּוֹעַ יָם,ofanoa yam,אופנוע ים
אוֹפַנִּי טַנְדֶם,ofanay tandam,אופני טנדם
אוֹפַנִּי יָד,aofhnei yad,אופני יד
אוֹפַנַּיִם,ofanayim,אופנים
אוֹפַנָּן,ofanan,אופנן
אוּפְּס,ups,אופס
אוֹפֵּרָה,opera,אופרה
אוֹפְתַלְמוֹלוֹגְיָה,optolamologya,אופתלמולוגיה
אוֹצֵר,otser,אוצר
אוֹצָר,otsar,אוצר
אוֹצָר בָּלוּם,otsar balum,אוצר בלום
אוֹצָר טֶבַע,otsar teva,אוצר טבע
אוֹצַר מִלִּים,otsar milim,אוצר מלים
אוֹקוּלוּס,okulus,אוקולוס
אוֹקוּלְטִיזְם,okultizm,אוקולטיזם
אוֹקַזְיוֹנָלִיזְם,okazyonalizm,אוקזיונליזם
אוֹקְטָאֶדֶר,oktaeder,אוקטאדר
אוֹקְטָבָה,,אוקטבה
אוֹקְטָהֶדְרוֹן,,אוקטהדרון
אוֹקְטוֹבֶּר,oktober,אוקטובר
אוֹקְטֶט,oktet,אוקטט
אוֹקֵי,okey,אוקי
אוֹקְיָאנוֹגְרַפְיָה,okyanografya,אוקיאנוגרפיה
אוֹקְיָאנוֹגְרַפְיָה בִּיוֹלוֹגִית,,אוקיינוגרפיה ביולוגית
אוֹקְיָאנוֹגְרַפְיָה כִימִית,,אוקיינוגרפיה כימית
אוֹקְיָאנוֹגְרַפְיָה פִיזִיקָלִית,,אוקיינוגרפיה פיזיקלית
אוֹקְיָנוֹס,okyanos,אוקינוס
אוֹקְיַנְיָה,okyanya,אוקיניה
אוֹקְלָהוֹמָה,,אוקלהומה
אוֹקְסִידֶנְטָלִיזְם,oxidentalizem,אוקסידנטליזם
אוֹקְסִימוֹרוֹן,oksimoron,אוקסימורון
אוּקְסִין,,אוקסין
אוּר,ur,אור
אוֹר {{משני|א}},or,אור
אוֹר גְּרִירָה,or grirah,אור גרירה
אוֹר יְקָרוֹת,or yekarot,אור יקרות
אוֹר יַרְכָּתַיִם,or yarkatayim,אור ירכתים
אוֹר נִווּט,or nivut,אור נווט
אוֹר סָבִיב,or saviv,אור סביב
אוֹר עֲגִינָה,or aginah,אור עגינה
אוֹר צַד,or tsad,אור צד
אוֹר רֹאשׁ תֹּרֶן,or rosh toren,אור ראש תרן
אוֹר שִׁבְעַת הַיָּמִים,or shiv'at hayamim,אור שבעת ימים
אוֹר שַׁיִט,or shayit,אור שיט
אוֹר תִּמְרוּן,or timrun,אור תמרון
אוּרֵאָה,urea,אוראה
אוֹרֵב,orev,אורב
אוֹרְבִּיטָל אָטוֹמִי,,אורביטל אטומי
אוֹרְבִּיטַל אַנְטִי־קוֹשֵׁר (גם אוֹרְבִּיטַל אַנְטִי קְשִׁירָה),orbital anti kosher,אורביטל אנטי קושר
אוֹרְבִּיטָל מוֹלֶקוּלָרִי,,אורביטל מולקולרי
אוֹרְבִּיטַל קוֹשֵׁר (גם אוֹרְבִּיטַל קְשִׁירָה),orbital kosher,אורביטל קושר
אוּרְבָּנִיזְם,urbanziem,אורבניזם
אוֹרְגַּזְמָה,orgazma,אורגזמה
אוֹרְגְּיָה,orgya,אורגיה
אוֹרְגָּן,organ,אורגן
אוֹרְגָּן חַשְׁמַלִּי,organ khashmali,אורגן חשמלי
אוֹרֶגָנוֹ,,אורגנו
אוֹרְגַּנְזָה,,אורגנזה
אוֹרְגָּנִי,organi,אורגני
אוֹרְגָּנִיזְם,organizm,אורגניזם
אוֹרְדּוֹבִיק,ordovik,אורדוביק
אוּרוּגְוָאִי,,אורוגואי
אוֹרוֹגֵּנֵזָה,orogenezah,אורוגנזה
אוּרוֹלוֹגְיָה,urologya,אורולוגיה
אוּרוֹפִילְיָה,urofilyah,אורופיליה
אוֹרֵחַ,oreakh,אורח
אוֹרְחָה,orkha,אורחה
אוֹרְחָן,orkhan,אורחן
אוֹרָטוֹרְיָה,,אורטוריה
אוּרִי,uri,אורי
אוֹרִיגָמִי,origami,אוריגמי
אוּרִים וְתֻמִּים,urim vetumim,אורים ותמים
אוֹרְיָנוּת,oryanut,אורינות
אוֹרִיקוֹלוֹתֵרַפְּיָה,orikoloterapyah,אוריקולותרפיה
אוֹרְלוֹגִין,orlogin,אורלוגין
אוּרַנְגְּאוּטָן,orangutan,אורנגאוטן
אוּרַנְיָה,uranyah,אורניה
אוּרַנְיוּם,uranyum,אורניום
אוּרַנְיוּם מְדֻלְדָּל,,אורניום מדלדל
אוּרַנְיוּם מָעֳשָׁר,,אורניום מעשר
אוֹרְנִיתוֹלוֹג,,אורניתולוג
אוֹרְנִיתוֹלוֹגְיָה,ornitologya,אורניתולוגיה
אוֹרְתוֹגוֹנָל,ortogonal,אורתוגונל
אוֹרְתּוֹגוֹנָלִי,ortogonali,אורתוגונלי
אוֹרְתּוֹפֶּדְיָה,ortopedya,אורתופדיה
אוֹרְתוֹקֵרָטוֹלוֹגְיָה,ortokeratologiah,אורתוקרטולוגיה
אִוְשָׁה,ivsha,אושה
אושינסול,,אושינסול
אֻשְׁכָּף,Ushkaf,אושכף
אוֹת גְּרוֹנִית,ot gronit,אות גרונית
אוֹת דֶּגֶל,ot degel,אות דגל
אוֹת מַעֲרָכָה,ot mearakha,אות מערכה
אוֹת סוֹפִית,ot sofit,אות סופית
אוֹת שִׁמּוּשׁ,ot shimush,אות שמוש
אוֹתוֹ,oto,אותו
אוֹתוֹת הַשָּׁמַיִם,otot hashamayim,אותות השמים
אוֹתֶנְטִי,otenti,אותנטי
אָז,az,אז
אָז זֶהוּ שֶׁלֹּא,az zehu shelo,אז זהו שלא
אָזֵאוֹטְרוֹפּ,ezeotrop,אזאוטרופ
אַזְבֶּסְט,asbest+ azbest,אזבסט
אִזְדָּרֶכֶת,izdarekhet,אזדרכת
אַזְהָרָה,azhara,אזהרה
אַזְהָרוֹת,azharot,אזהרות
אֵזוֹב,ezov,אזוב
אֲזוֹבְיוֹן,azovyon,אזוביון
אֲזוֹבִית פְּשׁוּטָה,,אזובית פשוטה
אֶזוֹטֶרִי,ezoteri,אזוטרי
אָזוּר,azur,אזור
אֵזוֹר,ezor,אזור
אֵזוֹר לְשׁוֹנִי,ezor leshoni,אזור לשוני
אֵזוֹר מְפֹרָז,ezor meforaz,אזור מפרז
אֵזוֹר תַּעֲשִׂיָּה,ezor ta'asiya,אזור תעשיה
אֲזַי,aza'y,אזי
אָזִימוּט,azimut,אזימוט
אָזְלַת יָד,ozlat yad,אזלת יד
אִזְמֵל,izmel,אזמל
אִזְמֵלוֹן,izmelon,אזמלון
אִזְמָרַגְדּ (גם אִזְמַרְגָּד),izmargad,אזמרגד
אֹזֶן,ozen,אזן
אֹזֶן הָמָן,ozen haman,אזן המן
אָזְנֵי חֲמוֹר,ozney khamor,אזני חמור
אָזְנִית,oznit,אזנית
אַזְעָקָה,az'aka,אזעקה
אֲזִקּוֹן,azikon,אזקון
אֲזִקִּים,azikim,אזקים
אָזַר מָתְנָיו,,אזר מתניו
אָזֶרְבַּיְגָ'ן,,אזרביג'ן
אֶזְרָח,ezrakh,אזרח
אֶזְרָחוּת,ezrakhut,אזרחות
אֶזְרָחוּת כְּפוּלָה,,אזרחות כפולה
אֶזְרָחִי,ezrakhi,אזרחי
אָח {{משני|ב}},akh,אח
אֹחַ,oakh,אח
אָח {{משני|א}},akh,אח
אָח חוֹרֵג,akh khoreg,אח חורג
אֶחָד,echad,אחד
אָחוּ,akhu,אחו
אַחֲוָה (גם אַחְוָה),akhava (akhva),אחוה
אָחוּז,akhuz,אחוז
אִחוּל,ikhul,אחול
אִחוּר,ikhur,אחור
אָחוֹת,akhot,אחות
אֶחֶז,akazh,אחז
אֲחֻזָּה,achuza,אחזה
אֲחֻזַּת אָבוֹת,akhuzat avot,אחזת אבות
אֲחֻזַּת עוֹלָם,akhuzat olam,אחזת עולם
אֲחִיזַת עֵינַיִם,akhizat enaim,אחיזת עינים
אַחְיָן,akhyan,אחין
אַחְלָה,achla,אחלה
